,Track,Artists,id,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Artists_1,Artists_2,Artists_3,genres_1,genres_2,genres_3
324,Say So,['Doja Cat'],3Dv1eDb0MEgF93GpLXlucZ,"['pop', 'rap']",0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,Doja Cat,,,pop,rap,
325,Díselo a la Vida (Versión Gala),['Operación Triunfo 2020'],6Acv9IDakRO83fgHH1xyER,"['pop', 'latin']",0.38,0.609,0,-7.129,1,0.0469,0.0435,0.0,0.124,0.424,80.302,Operación Triunfo 2020,,,pop,latin,
326,Call Me Maybe,"['Flavio', 'Samantha']",00q3WfzaavJuhboFUsS8DO,"['pop', 'latin']",0.603,0.532,0,-6.787,1,0.0753,0.502,0.0,0.285,0.602,115.765,Flavio,Samantha,,pop,latin,
327,Esperando,"['Hugo Cobo', 'Eva B']",6VUdvFy716ztKpkQ9bj2We,"['pop', 'latin']",0.713,0.444,11,-9.732,1,0.0307,0.674,0.0,0.11,0.431,121.972,Hugo Cobo,Eva B,,pop,latin,
328,Wicked Game,"['Gèrard', 'Anne Lukin']",61ZVMCgBihll3iA3pEDU5i,"['pop', 'latin']",0.595,0.679,10,-5.015,1,0.0256,0.348,5.89e-05,0.134,0.544,112.986,Gèrard,Anne Lukin,,pop,latin,
329,Bad Girls,"['NIA', 'Bruno Alves']",6RsLQzoMtifr8nO3Ih2Iwm,['pop'],0.816,0.611,1,-8.13,0,0.0399,0.022,0.000347,0.0719,0.937,125.023,NIA,Bruno Alves,,pop,,
330,Dinamita,['Maialen'],5r1sZzPSFVDgoVvFvgVac2,"['pop', 'latin']",0.482,0.489,9,-8.708,1,0.0305,0.142,0.0,0.304,0.46,114.055,Maialen,,,pop,latin,
331,Coronao Now (Remix),"['El Alfa', 'Lil Pump', 'Sech', 'Myke Towers', 'Vin Diesel']",047WmwIeerHyIUstFAEz5A,"['reggaeton', 'latin', 'rap', 'dembow']",0.883,0.853,1,-4.773,1,0.168,0.255,0.000723,0.412,0.695,118.003,El Alfa,Lil Pump,Sech,reggaeton,latin,rap
332,Tattoo,['Rauw Alejandro'],7na7Bk98usp84FaOJFPv3d,"['pop', 'rap']",0.755,0.617,9,-5.144,1,0.182,0.0217,0.0,0.0625,0.745,193.896,Rauw Alejandro,,,pop,rap,
333,Ignorantes,"['Bad Bunny', 'Sech']",3wYRLYuO1M88d8woWUIxct,"['reggaeton', 'rap', 'latin']",0.85,0.536,1,-5.161,1,0.0599,0.267,3.89e-05,0.0996,0.505,96.029,Bad Bunny,Sech,,reggaeton,rap,latin
334,Qué Sabrá Neruda,['Javy Ramírez'],4huB3db25M1GuvadoVtz6r,[],0.675,0.693,0,-4.267,1,0.0313,0.212,0.0,0.0855,0.461,124.323,Javy Ramírez,,,,,
335,No Time To Die,['Billie Eilish'],73SpzrcaHk0RQPFP73vqVR,"['pop', 'electro']",0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,Billie Eilish,,,pop,electro,
336,Intentions (feat. Quavo),['Justin Bieber'],4umIPjkehX1r7uhmGvXiSV,['pop'],0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,Justin Bieber,,,pop,,
337,La Pared,['Cupido'],6k436htnE7M4QXXWOjhTYZ,"['rap', 'urban']",0.635,0.373,11,-8.727,1,0.0312,0.111,0.0,0.287,0.251,119.841,Cupido,,,rap,urban,
338,100 Preguntas,['Ozuna'],21Oh0PHE9KQPXPUvXk7sY9,"['reggaeton', 'pop', 'rap', 'latin']",0.768,0.462,5,-5.907,1,0.0369,0.689,0.0,0.114,0.605,104.008,Ozuna,,,reggaeton,pop,rap
339,Forever (feat. Post Malone & Clever),['Justin Bieber'],2ZlCGeK30BLRNSPC832pNZ,['pop'],0.825,0.483,8,-5.746,0,0.08,0.538,1.48e-05,0.204,0.892,139.98,Justin Bieber,,,pop,,
340,No Quiero Verte,"['Rvfv', 'Keen Levy']",4SPqRLaD6GI2ZdF8vyctsz,"['urban', 'rap']",0.795,0.638,7,-4.717,0,0.0638,0.17,0.0,0.284,0.704,104.93,Rvfv,Keen Levy,,urban,rap,
341,Como Panas,['Bryant Myers'],07MrcfLozSPBfEI8GPOZgc,"['reggaeton', 'rap', 'latin']",0.638,0.61,10,-5.929,0,0.213,0.404,0.0,0.146,0.379,157.956,Bryant Myers,,,reggaeton,rap,latin
